боровча́нец	боровча́нка	боровча́не	Борово́е	город
бру́клинец	бру́клинка	бру́клинцы	Бру́клин	топоним
зеленогра́дец	зеленогра́дка	зеленогра́дцы	Зеленогра́д	топоним
зюга́новец	зюга́новка	зюга́новцы	Зюга́нов	топоним
казахста́нец	казахста́нка	казахста́нцы	Казахста́н	топоним
караганди́нец	караганди́нка	караганди́нцы	Караганда́	топоним
каркарали́нец	каркарали́нка	каркарали́нцы	Каркарали́нск	топоним
кви́нсовец	кви́нсовка	кви́нсовцы	Квинс	топоним
ке́ллеровец	ке́ллеровка	ке́ллеровцы	Ке́ллеровка	топоним
кёнигсбе́ржец/кёнигсбе́ргер	кёнигсбе́ржинка	кёнигсбе́ргцы	Кёнигсбе́рг	топоним
кокчета́вец	кокчета́вка	кокчета́вцы	Кокчета́в	топоним
нурсулта́новец	нурсулта́новка	нурсулта́новцы	Нур-Султа́н	топоним
ньюджерси́ец	ньюджерси́йка	ньюджерси́йцы	Нью-Дже́рси	топоним
ньюйо́ркер	ньюйо́керша	ньюйо́ркцы	Нью-Йо́рк	топоним
панфи́ловец		панфи́ловцы	Панфи́лов	фамилия
петербу́ржец	петербу́рженка	петербу́ржцы/петербу́ргцы	Петербу́рг	топоним
*питербу́ржец	*питербу́рженка	*питербу́ржцы/*питербу́ргцы	*Питербу́рг	топоним
сара́нец	сара́нка	сара́нцы	Сара́нь	топоним
темирта́увец	темирта́увка	темирта́увцы	Темирта́у	топоним
ува́ровец	ува́ровка	ува́ровцы	Ува́рово	топоним
целиногра́дец	целиногра́дка	целиногра́дцы	Целиногра́д	топоним
ша́дринец	ша́дринка	ша́дринцы	Ша́дринск	топоним
шаха́нец	шаха́нка	шаха́нцы	Шаха́н	топоним
шахти́нец	шахти́нка	шахти́нцы	Шахти́нск	топоним
я́синевец	я́синевка	я́синевцы	Я́синево	топоним
я́синец	я́синка	я́синцы	Я́сино	топоним
единоро́с	единоро́ска	единоро́сцы	Единая Россия	партия
южноамерика́нец	южноамерика́нка	южноамерика́нцы	Южная Америка	континент
малева́нец		малева́нцы	Малёванный	фамилия
малёванец		малёванцы	Малёванный	фамилия
бортпроводни́к	бортпроводни́ца	бортпроводники́		
пассажи́р	пассажи́рка	пассажи́ры		
дире́ктор	дире́ктор, директри́са, дире́кторша (пренебр.)	дире́кторы, директора́		
ткач	ткачи́ха	ткачи́	ткать	глагол
по́вар	повари́ха, по́вар	повара́		
учи́тель	учи́тельница	учителя́	учи́ть	глагол
чита́тель	чита́тельница	чита́тели	чита́ть	глагол
писа́тель	писа́тельница, писа́тель	писа́тели	писа́ть	глагол
поэ́т	поэте́сса, поэ́т	поэ́ты		
тенниси́ст	тенниси́стка	тенниси́сты	те́ннис	игра
шахмати́ст	шахмати́стка	ша́хматисты	ша́махты	игра
